[INFO  ] [21:42:16.227132] <   > fastchess --- fastchess alpha 1.4.0 20250702-2a80921
[INFO  ] [21:42:16.227310] <   > fastchess --- Setting seed to: 12625659313421965355
[INFO  ] [21:42:16.227402] <   > fastchess --- Starting tournament...
[Engine] [21:42:16.265719] <  2> Engine1 <--- uci
[Engine] [21:43:30.921836] <  2> Engine1 ---> info depth 1 score cp 100 nodes 72 nps 0 hashfull 0 pv b5c7 
[Engine] [21:43:30.936797] <  2> Engine1 ---> info depth 2 score cp -10 nodes 152 nps 0 hashfull 0 pv a2a4 a7a5 
[Engine] [21:43:30.995899] <  2> Engine1 ---> info depth 3 score cp 91 nodes 7375 nps 0 hashfull 0 pv h2h4 c7c6 b5a7 
[Engine] [21:43:31.766353] <  2> Engine1 ---> info depth 4 score cp -200 nodes 128730 nps 0 hashfull 2 pv f3f4 d5f4 e2e4 f4g2 
[Engine] [21:43:31.766446] <  2> Engine1 ---> bestmove f3f4
[Engine] [21:43:31.766483] <  2> Engine1 <--- isready
[Engine] [21:43:31.766528] <  2> Engine1 ---> readyok
[Engine] [21:43:31.766589] <  2> Engine2 <--- isready
[Engine] [21:43:31.766664] <  2> Engine2 ---> readyok
[Engine] [21:43:31.766697] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4
[Engine] [21:43:31.766719] <  2> Engine2 <--- isready
[Engine] [21:43:31.766754] <  2> Engine2 ---> readyok
[Engine] [21:43:31.766774] <  2> Engine2 <--- go wtime 10888 btime 38643 winc 500 binc 500
[Engine] [21:43:31.786963] <  2> Engine2 ---> info depth 1 score cp 112 nodes 102 nps 0 hashfull 0 pv e5f4 
[Engine] [21:43:31.801897] <  2> Engine2 ---> info depth 2 score cp 0 nodes 108 nps 0 hashfull 0 pv e5f4 b5c7 
[Engine] [21:43:31.841818] <  2> Engine2 ---> info depth 3 score cp 200 nodes 5246 nps 0 hashfull 0 pv d5f4 e2e4 f4g2 
[Engine] [21:43:31.916165] <  2> Engine2 ---> info depth 4 score cp 0 nodes 6799 nps 0 hashfull 0 pv d5f4 e2e4 f7f5 b5c7 
[Engine] [21:43:34.035136] <  2> Engine2 ---> info depth 5 score cp 213 nodes 339281 nps 169640 hashfull 11 pv e5f4 c2c4 d5b6 g2g4 b6c4 
[Engine] [21:43:34.035241] <  2> Engine2 ---> bestmove e5f4
[Engine] [21:43:34.035270] <  2> Engine2 <--- isready
[Engine] [21:43:34.035321] <  2> Engine2 ---> readyok
[Engine] [21:43:34.035399] <  2> Engine1 <--- isready
[Engine] [21:43:34.035456] <  2> Engine1 ---> readyok
[Engine] [21:43:34.035499] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4
[Engine] [21:43:34.035531] <  2> Engine1 <--- isready
[Engine] [21:43:34.035588] <  2> Engine1 ---> readyok
[Engine] [21:43:34.035630] <  2> Engine1 <--- go wtime 10888 btime 36875 winc 500 binc 500
[Engine] [21:43:34.050825] <  2> Engine1 ---> info depth 1 score cp 0 nodes 72 nps 0 hashfull 0 pv b5c7 
[Engine] [21:43:34.065813] <  2> Engine1 ---> info depth 2 score cp -112 nodes 234 nps 0 hashfull 0 pv c2c4 f4f3 
[Engine] [21:43:34.097521] <  2> Engine1 ---> info depth 3 score cp 0 nodes 2984 nps 0 hashfull 0 pv c2c4 d5e7 b5c7 
[Engine] [21:43:35.475665] <  2> Engine1 ---> info depth 4 score cp -213 nodes 217464 nps 217464 hashfull 4 pv c2c4 d5b6 g2g4 b6c4 
[Engine] [21:43:35.475764] <  2> Engine1 ---> bestmove c2c4
[Engine] [21:43:35.475806] <  2> Engine1 <--- isready
[Engine] [21:43:35.475855] <  2> Engine1 ---> readyok
[Engine] [21:43:35.475920] <  2> Engine2 <--- isready
[Engine] [21:43:35.475962] <  2> Engine2 ---> readyok
[Engine] [21:43:35.475983] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4
[Engine] [21:43:35.476004] <  2> Engine2 <--- isready
[Engine] [21:43:35.476037] <  2> Engine2 ---> readyok
[Engine] [21:43:35.476057] <  2> Engine2 <--- go wtime 9948 btime 36875 winc 500 binc 500
[Engine] [21:43:35.494764] <  2> Engine2 ---> info depth 1 score cp 112 nodes 96 nps 0 hashfull 0 pv f4f3 
[Engine] [21:43:35.510921] <  2> Engine2 ---> info depth 2 score cp 0 nodes 197 nps 0 hashfull 0 pv d5e7 b5c7 
[Engine] [21:43:35.540829] <  2> Engine2 ---> info depth 3 score cp 213 nodes 2801 nps 0 hashfull 0 pv d5b6 g2g4 b6c4 
[Engine] [21:43:35.601146] <  2> Engine2 ---> info depth 4 score cp 0 nodes 4403 nps 0 hashfull 0 pv d5b6 e2e4 f4f3 b5c7 
[Engine] [21:43:36.640761] <  2> Engine2 ---> info depth 5 score cp 213 nodes 126193 nps 126193 hashfull 6 pv d5b6 c4c5 f8c5 g1h3 f4f3 
[Engine] [21:43:36.640862] <  2> Engine2 ---> bestmove d5b6
[Engine] [21:43:36.640890] <  2> Engine2 <--- isready
[Engine] [21:43:36.640936] <  2> Engine2 ---> readyok
[Engine] [21:43:36.641016] <  2> Engine1 <--- isready
[Engine] [21:43:36.641074] <  2> Engine1 ---> readyok
[Engine] [21:43:36.641117] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6
[Engine] [21:43:36.641148] <  2> Engine1 <--- isready
[Engine] [21:43:36.641197] <  2> Engine1 ---> readyok
[Engine] [21:43:36.641240] <  2> Engine1 <--- go wtime 9948 btime 36211 winc 500 binc 500
[Engine] [21:43:36.657508] <  2> Engine1 ---> info depth 1 score cp 0 nodes 78 nps 0 hashfull 0 pv b5c7 
[Engine] [21:43:36.672290] <  2> Engine1 ---> info depth 2 score cp -213 nodes 122 nps 0 hashfull 0 pv g2g4 b6c4 
[Engine] [21:43:36.708188] <  2> Engine1 ---> info depth 3 score cp 0 nodes 3778 nps 0 hashfull 0 pv e2e4 f4f3 b5c7 
[Engine] [21:43:37.055241] <  2> Engine1 ---> info depth 4 score cp -213 nodes 23708 nps 0 hashfull 1 pv c4c5 f8c5 g1h3 f4f3 
[Engine] [21:43:37.055334] <  2> Engine1 ---> bestmove c4c5
[Engine] [21:43:37.055363] <  2> Engine1 <--- isready
[Engine] [21:43:37.055409] <  2> Engine1 ---> readyok
[Engine] [21:43:37.055484] <  2> Engine2 <--- isready
[Engine] [21:43:37.055531] <  2> Engine2 ---> readyok
[Engine] [21:43:37.055556] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5
[Engine] [21:43:37.055582] <  2> Engine2 <--- isready
[Engine] [21:43:37.055620] <  2> Engine2 ---> readyok
[Engine] [21:43:37.055644] <  2> Engine2 <--- go wtime 10034 btime 36211 winc 500 binc 500
[Engine] [21:43:37.073604] <  2> Engine2 ---> info depth 1 score cp 213 nodes 78 nps 0 hashfull 0 pv f8c5 
[Engine] [21:43:37.089654] <  2> Engine2 ---> info depth 2 score cp 100 nodes 98 nps 0 hashfull 0 pv f8c5 b5c7 
[Engine] [21:43:37.121609] <  2> Engine2 ---> info depth 3 score cp 213 nodes 3143 nps 0 hashfull 0 pv f8c5 g1h3 f4f3 
[Engine] [21:43:37.166376] <  2> Engine2 ---> info depth 4 score cp 2 nodes 2457 nps 0 hashfull 0 pv f8c5 d2d4 c5d4 b5d4 
[Engine] [21:43:38.665182] <  2> Engine2 ---> info depth 5 score cp 314 nodes 183330 nps 183330 hashfull 6 pv f8c5 d2d4 d8h4 e1d2 c5d4 
[Engine] [21:43:38.665310] <  2> Engine2 ---> bestmove f8c5
[Engine] [21:43:38.665352] <  2> Engine2 <--- isready
[Engine] [21:43:38.665400] <  2> Engine2 ---> readyok
[Engine] [21:43:38.665480] <  2> Engine1 <--- isready
[Engine] [21:43:38.665529] <  2> Engine1 ---> readyok
[Engine] [21:43:38.665551] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5
[Engine] [21:43:38.665573] <  2> Engine1 <--- isready
[Engine] [21:43:38.665609] <  2> Engine1 ---> readyok
[Engine] [21:43:38.665674] <  2> Engine1 <--- go wtime 10034 btime 35102 winc 500 binc 500
[Engine] [21:43:38.681684] <  2> Engine1 ---> info depth 1 score cp -100 nodes 72 nps 0 hashfull 0 pv b5c7 
[Engine] [21:43:38.697055] <  2> Engine1 ---> info depth 2 score cp -213 nodes 345 nps 0 hashfull 0 pv g1h3 f4f3 
[Engine] [21:43:38.722519] <  2> Engine1 ---> info depth 3 score cp -2 nodes 1901 nps 0 hashfull 0 pv d2d4 c5d4 b5d4 
[Engine] [21:43:39.243093] <  2> Engine1 ---> info depth 4 score cp -314 nodes 50646 nps 0 hashfull 2 pv d2d4 d8h4 e1d2 c5d4 
[Engine] [21:43:39.243192] <  2> Engine1 ---> bestmove d2d4
[Engine] [21:43:39.243230] <  2> Engine1 <--- isready
[Engine] [21:43:39.243278] <  2> Engine1 ---> readyok
[Engine] [21:43:39.243389] <  2> Engine2 <--- isready
[Engine] [21:43:39.243454] <  2> Engine2 ---> readyok
[Engine] [21:43:39.243489] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4
[Engine] [21:43:39.243515] <  2> Engine2 <--- isready
[Engine] [21:43:39.243552] <  2> Engine2 ---> readyok
[Engine] [21:43:39.243573] <  2> Engine2 <--- go wtime 9957 btime 35102 winc 500 binc 500
[Engine] [21:43:39.261059] <  2> Engine2 ---> info depth 1 score cp 314 nodes 96 nps 0 hashfull 0 pv c5d4 
[Engine] [21:43:39.278317] <  2> Engine2 ---> info depth 2 score cp 2 nodes 122 nps 0 hashfull 0 pv c5d4 b5d4 
[Engine] [21:43:39.311777] <  2> Engine2 ---> info depth 3 score cp 314 nodes 3326 nps 0 hashfull 0 pv d8h4 e1d2 c5d4 
[Engine] [21:43:39.350539] <  2> Engine2 ---> info depth 4 score cp 5 nodes 852 nps 0 hashfull 0 pv d8h4 e1d2 c5d4 b5d4 
[Engine] [21:43:39.675016] <  2> Engine2 ---> info depth 5 score cp 412 nodes 48956 nps 0 hashfull 3 pv c5b4 e1f2 a7a6 b5c7 d8c7 
[Engine] [21:43:44.092938] <  2> Engine2 ---> info depth 6 score cp -85 nodes 184735 nps 46183 hashfull 8 pv c5b4 b5c3 b6c4 b2b3 d7d5 b3c4 
[Engine] [21:43:44.093039] <  2> Engine2 ---> bestmove c5b4
[Engine] [21:43:44.093102] <  2> Engine2 <--- isready
[Engine] [21:43:44.093150] <  2> Engine2 ---> readyok
[Engine] [21:43:44.093231] <  2> Engine1 <--- isready
[Engine] [21:43:44.093280] <  2> Engine1 ---> readyok
[Engine] [21:43:44.093312] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4
[Engine] [21:43:44.093333] <  2> Engine1 <--- isready
[Engine] [21:43:44.093362] <  2> Engine1 ---> readyok
[Engine] [21:43:44.093380] <  2> Engine1 <--- go wtime 9957 btime 30753 winc 500 binc 500
[Engine] [21:43:44.108454] <  2> Engine1 ---> info depth 1 score cp -216 nodes 12 nps 0 hashfull 0 pv b5c3 
[Engine] [21:43:44.123375] <  2> Engine1 ---> info depth 2 score cp -216 nodes 214 nps 0 hashfull 0 pv e1f2 f4f3 
[Engine] [21:43:44.140874] <  2> Engine1 ---> info depth 3 score cp -100 nodes 286 nps 0 hashfull 0 pv e1f2 f4f3 b5c7 
[Engine] [21:43:44.220001] <  2> Engine1 ---> info depth 4 score cp -412 nodes 9037 nps 0 hashfull 0 pv e1f2 a7a6 b5c7 d8c7 
[Engine] [21:43:44.642502] <  2> Engine1 ---> info depth 5 score cp 85 nodes 23690 nps 0 hashfull 2 pv b5c3 b6c4 b2b3 d7d5 b3c4 
[Engine] [21:43:44.642726] <  2> Engine1 ---> bestmove b5c3
[Engine] [21:43:44.642753] <  2> Engine1 <--- isready
[Engine] [21:43:44.642795] <  2> Engine1 ---> readyok
[Engine] [21:43:44.642906] <  2> Engine2 <--- isready
[Engine] [21:43:44.642975] <  2> Engine2 ---> readyok
[Engine] [21:43:44.643007] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3
[Engine] [21:43:44.643031] <  2> Engine2 <--- isready
[Engine] [21:43:44.643067] <  2> Engine2 ---> readyok
[Engine] [21:43:44.643117] <  2> Engine2 <--- go wtime 9908 btime 30753 winc 500 binc 500
[Engine] [21:43:44.660316] <  2> Engine2 ---> info depth 1 score cp 500 nodes 102 nps 0 hashfull 0 pv b4c3 
[Engine] [21:43:44.675883] <  2> Engine2 ---> info depth 2 score cp 202 nodes 46 nps 0 hashfull 0 pv b4c3 b2c3 
[Engine] [21:43:44.706189] <  2> Engine2 ---> info depth 3 score cp 500 nodes 3103 nps 0 hashfull 0 pv d8h4 g2g3 b4c3 
[Engine] [21:43:44.747621] <  2> Engine2 ---> info depth 4 score cp 205 nodes 773 nps 0 hashfull 0 pv d8h4 g2g3 b4c3 b2c3 
[Engine] [21:43:45.180681] <  2> Engine2 ---> info depth 5 score cp 516 nodes 72359 nps 0 hashfull 5 pv d8h4 e1d2 h4f2 g2g3 f2f1 
[Engine] [21:43:45.180781] <  2> Engine2 ---> bestmove d8h4
[Engine] [21:43:45.180815] <  2> Engine2 <--- isready
[Engine] [21:43:45.180853] <  2> Engine2 ---> readyok
[Engine] [21:43:45.180918] <  2> Engine1 <--- isready
[Engine] [21:43:45.180958] <  2> Engine1 ---> readyok
[Engine] [21:43:45.180976] <  2> Engine1 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4
[Engine] [21:43:45.180996] <  2> Engine1 <--- isready
[Engine] [21:43:45.181025] <  2> Engine1 ---> readyok
[Engine] [21:43:45.181043] <  2> Engine1 <--- go wtime 9908 btime 30716 winc 500 binc 500
[Engine] [21:43:45.196622] <  2> Engine1 ---> info depth 1 score cp -219 nodes 6 nps 0 hashfull 0 pv g2g3 
[Engine] [21:43:45.213279] <  2> Engine1 ---> info depth 2 score cp -500 nodes 128 nps 0 hashfull 0 pv g2g3 b4c3 
[Engine] [21:43:45.230441] <  2> Engine1 ---> info depth 3 score cp -205 nodes 78 nps 0 hashfull 0 pv g2g3 b4c3 b2c3 
[Engine] [21:43:45.304045] <  2> Engine1 ---> info depth 4 score cp -516 nodes 10303 nps 0 hashfull 0 pv e1d2 h4f2 g2g3 f2f1 
[Engine] [21:43:45.423596] <  2> Engine1 ---> info depth 5 score cp -102 nodes 5157 nps 0 hashfull 0 pv e1d2 b4c3 b2c3 f4f3 g2f3 
[Engine] [21:43:45.423715] <  2> Engine1 ---> bestmove e1d2
[Engine] [21:43:45.423750] <  2> Engine1 <--- isready
[Engine] [21:43:45.423789] <  2> Engine1 ---> readyok
[Engine] [21:43:45.423863] <  2> Engine2 <--- isready
[Engine] [21:43:45.423907] <  2> Engine2 ---> readyok
[Engine] [21:43:45.423925] <  2> Engine2 <--- position startpos moves b1a3 e7e5 a3b5 g8f6 f2f3 f6d5 f3f4 e5f4 c2c4 d5b6 c4c5 f8c5 d2d4 c5b4 b5c3 d8h4 e1d2
[Engine] [21:43:45.423944] <  2> Engine2 <--- isready
[Engine] [21:43:45.423975] <  2> Engine2 ---> readyok
[Engine] [21:43:45.423992] <  2> Engine2 <--- go wtime 10166 btime 30716 winc 500 binc 500
[Engine] [21:43:45.443954] <  2> Engine2 ---> info depth 1 score cp 500 nodes 129 nps 0 hashfull 0 pv b4c3 
[Engine] [21:43:45.458884] <  2> Engine2 ---> info depth 2 score cp 205 nodes 95 nps 0 hashfull 0 pv b4c3 b2c3 
[Engine] [21:43:45.504653] <  2> Engine2 ---> info depth 3 score cp 516 nodes 5763 nps 0 hashfull 0 pv h4f2 g2g3 f2f1 
[Engine] [21:43:45.566091] <  2> Engine2 ---> info depth 4 score cp 205 nodes 2905 nps 0 hashfull 0 pv h4f2 g2g3 b4c3 b2c3 
